Date,code,Open,High,Low,Close,Volume
2023-04-19,7177,613,613,603,611,243200
2023-04-18,7177,610,614,608,614,139800
2023-04-17,7177,611,616,603,613,170000
2023-04-14,7177,604,611,604,607,197800
2023-04-13,7177,595,601,594,598,107900
2023-04-12,7177,594,596,590,596,105900
2023-04-11,7177,591,595,589,594,145100
2023-04-10,7177,586,591,585,589,102900
2023-04-07,7177,580,586,579,582,118600
2023-04-06,7177,574,582,571,578,109500
2023-04-05,7177,578,582,572,574,158800
2023-04-04,7177,577,584,574,581,177300
2023-04-03,7177,578,579,576,579,151000
2023-03-31,7177,580,582,572,578,165600
2023-03-30,7177,575,580,568,580,181800
2023-03-29,7177,573,577,570,577,219200
2023-03-28,7177,570,571,566,571,119700
2023-03-27,7177,575,575,558,570,238700
2023-03-24,7177,576,577,568,576,191800
2023-03-23,7177,567,577,564,574,160900
2023-03-22,7177,564,572,561,570,158100
2023-03-20,7177,563,568,555,557,159100
2023-03-17,7177,559,568,558,565,332700
2023-03-16,7177,546,557,545,557,193100
2023-03-15,7177,564,571,557,557,354500
2023-03-14,7177,563,565,547,553,400400
2023-03-13,7177,570,573,561,570,288200
2023-03-10,7177,585,586,577,579,285400
2023-03-09,7177,583,593,582,587,348800
2023-03-08,7177,584,586,580,580,234500
2023-03-07,7177,588,589,582,582,157800
2023-03-06,7177,585,588,580,587,252100
2023-03-03,7177,584,590,581,582,240100
2023-03-02,7177,578,579,572,579,214600
2023-03-01,7177,584,595,573,578,573800
2023-02-28,7177,578,584,572,583,223700
2023-02-27,7177,574,580,572,573,174500
2023-02-24,7177,575,575,565,571,242800
2023-02-22,7177,575,577,569,572,214500
2023-02-21,7177,570,582,568,577,357100
2023-02-20,7177,567,571,559,570,220400
2023-02-17,7177,558,565,555,562,200800
2023-02-16,7177,549,569,549,564,612300
2023-02-15,7177,544,548,538,538,182600
2023-02-14,7177,545,545,541,543,104500
2023-02-13,7177,545,546,539,540,269600
2023-02-10,7177,556,557,546,546,285700
2023-02-09,7177,552,556,551,554,115900
